STATE,Pre-Lockdown (PPL/MON),1st Year post-lockdown (PPL/MON),2nd Year post-lockdown (PPL/MON),3rd Year post-lockdown (PPL/MON)
AA,12.75,4.181818181818182,2.5,-1.4285714285714286
AE,-878.8333333333334,-917.5,-901.0,-384.6363636363636
AK,-559.25,-345.6666666666667,-581.25,-715.6363636363636
AL,-1608.9166666666667,-408.5,-1104.8333333333333,-1364.3636363636363
AP,-480.9166666666667,-943.75,-1100.25,-606.8181818181819
AR,-2218.0833333333335,-874.75,-1739.25,-1986.2727272727273
AS,-2.625,14.0,13.5,-3.0
AZ,-52.666666666666664,976.1666666666666,-1298.0,-3023.3636363636365
CA,-19164.166666666668,-24043.5,-24637.75,-21462.0
CO,-3012.1666666666665,-2157.25,-4364.083333333333,-4038.0
CT,-1395.0,122.41666666666667,-1071.0,-979.6363636363636
DC,-1022.9166666666666,-1987.6666666666667,-851.9166666666666,-924.6363636363636
DE,340.3333333333333,712.0833333333334,424.8333333333333,294.09090909090907
FL,-3429.9166666666665,4186.833333333333,5219.083333333333,-3112.6363636363635
GA,-2510.75,463.0,-585.8333333333334,-2000.3636363636363
GU,-36.166666666666664,-41.583333333333336,-36.416666666666664,-30.272727272727273
HI,-2077.3333333333335,-1361.25,-1771.75,-1439.1818181818182
IA,-3783.1666666666665,-2168.75,-2866.4166666666665,-2944.909090909091
ID,-196.5,994.4166666666666,-243.33333333333334,-877.8181818181819
IL,-10096.0,-8385.75,-9179.666666666666,-8261.545454545454
IN,-7073.333333333333,-3863.9166666666665,-5971.5,-6454.272727272727
KS,-4428.5,-2716.0833333333335,-3427.5833333333335,-3372.090909090909
KY,-2482.5833333333335,-1091.4166666666667,-1960.0,-2203.0
LA,-2020.25,-1677.5,-2579.8333333333335,-2293.4545454545455
MA,-3726.8333333333335,-3923.75,-4351.666666666667,-4627.181818181818
MD,-2062.0,-1381.5833333333333,-2446.5833333333335,-2203.4545454545455
ME,-549.0833333333334,244.58333333333334,-190.41666666666666,-540.4545454545455
MI,-6960.666666666667,-3703.5833333333335,-5896.5,-7161.090909090909
MN,-3642.3333333333335,-2821.1666666666665,-3827.8333333333335,-4460.363636363636
MO,-3880.1666666666665,-1667.9166666666667,-3379.5833333333335,-3482.6363636363635
MP,5.2727272727272725,11.2,11.272727272727273,9.428571428571429
MS,-1511.5833333333333,-547.25,-1010.75,-1207.090909090909
MT,-746.25,46.25,-250.58333333333334,-659.2727272727273
NC,-751.4166666666666,2112.0833333333335,810.4166666666666,-202.9090909090909
ND,-1707.5,-1688.9166666666667,-1579.1666666666667,-1329.909090909091
NE,-2731.3333333333335,-1819.6666666666667,-2203.6666666666665,-2128.090909090909
NH,-351.0,380.6666666666667,-157.0,-401.27272727272725
NJ,-2325.5833333333335,-1210.5,-2618.25,-2716.181818181818
NM,-595.6666666666666,-426.0833333333333,-721.5,-920.6363636363636
NV,737.0,1048.5,-220.5,-754.2727272727273
NY,-13799.666666666666,-20249.083333333332,-13994.083333333334,-13133.09090909091
OH,-4270.583333333333,-2190.8333333333335,-3727.3333333333335,-4310.181818181818
OK,-2845.5,-1287.9166666666667,-2270.6666666666665,-2935.909090909091
OR,-2707.6666666666665,-1829.4166666666667,-4339.25,-3490.090909090909
PA,-5479.833333333333,-3367.75,-5124.25,-5675.636363636364
PR,325.4166666666667,528.6666666666666,510.1666666666667,447.6363636363636
RI,-175.58333333333334,0.5833333333333334,-374.0,-321.45454545454544
SC,288.0,2020.9166666666667,1967.25,1093.909090909091
SD,-875.1666666666666,-417.5833333333333,-693.9166666666666,-752.6363636363636
TN,-782.8333333333334,923.0,305.6666666666667,-1650.1818181818182
TX,-3943.6666666666665,1918.5833333333333,248.5,-5386.181818181818
UT,-1880.5833333333333,-741.5,-2076.75,-2513.3636363636365
VA,-2856.75,-1839.4166666666667,-2697.25,-2755.090909090909
VI,22.083333333333332,22.75,4.083333333333333,14.363636363636363
VT,-600.5833333333334,-178.0,-519.5,-723.3636363636364
WA,-2111.9166666666665,-2276.8333333333335,-3797.4166666666665,-5033.636363636364
WI,-4766.333333333333,-2796.5,-3824.25,-4616.0
WV,-1074.75,-453.0,-783.1666666666666,-807.6363636363636
WY,-494.5,-184.5,-189.0,-210.63636363636363
