STATE,YYYYMM,NET CHANGE
AA,2019-03-01,23
AA,2019-06-01,-41
AA,2019-07-01,50
AA,2019-08-01,23
AA,2019-09-01,19
AA,2020-04-01,0
AA,2020-06-01,-14
AA,2020-07-01,2
AA,2020-08-01,16
AA,2020-09-01,15
AA,2020-10-01,12
AA,2020-11-01,15
AA,2020-12-01,0
AA,2021-01-01,0
AA,2021-02-01,0
AA,2021-03-01,0
AA,2021-05-01,0
AA,2021-06-01,-14
AA,2021-07-01,9
AA,2021-08-01,15
AA,2021-09-01,0
AA,2021-10-01,0
AA,2021-11-01,0
AA,2021-12-01,0
AA,2022-02-01,0
AA,2022-03-01,15
AA,2022-04-01,0
AA,2022-05-01,0
AA,2022-06-01,-15
AA,2022-07-01,27
AA,2022-08-01,15
AA,2023-01-01,-14
AA,2023-02-01,-23
AE,2018-12-01,-120
AE,2019-03-01,519
AE,2019-04-01,515
AE,2019-05-01,-1881
AE,2019-06-01,-840
AE,2019-07-01,-1354
AE,2019-08-01,-714
AE,2019-09-01,-956
AE,2019-10-01,-891
AE,2019-11-01,-779
AE,2019-12-01,-883
AE,2020-01-01,-1278
AE,2020-02-01,-841
AE,2020-03-01,-644
AE,2020-04-01,-302
AE,2020-05-01,-547
AE,2020-06-01,-1154
AE,2020-07-01,-1723
AE,2020-08-01,-1213
AE,2020-09-01,-991
AE,2020-10-01,-971
AE,2020-11-01,-808
AE,2020-12-01,-838
AE,2021-01-01,-741
AE,2021-02-01,-922
AE,2021-03-01,-800
AE,2021-04-01,-924
AE,2021-05-01,-1091
AE,2021-06-01,-1442
AE,2021-07-01,-1340
AE,2021-08-01,-933
AE,2021-09-01,-742
AE,2021-10-01,-746
AE,2021-11-01,-806
AE,2021-12-01,-728
AE,2022-01-01,-655
AE,2022-02-01,-557
AE,2022-03-01,-848
AE,2022-04-01,-825
AE,2022-05-01,-983
AE,2022-06-01,-1407
AE,2022-07-01,-1141
AE,2022-08-01,-23
AE,2022-09-01,485
AE,2022-10-01,384
AE,2022-11-01,433
AE,2022-12-01,381
AE,2023-01-01,-769
AE,2023-02-01,-766
AK,2018-12-01,-422
AK,2019-03-01,-387
AK,2019-04-01,-411
AK,2019-05-01,-595
AK,2019-06-01,-584
AK,2019-07-01,-662
AK,2019-08-01,-832
AK,2019-09-01,-1082
AK,2019-10-01,-956
AK,2019-11-01,-440
AK,2019-12-01,-244
AK,2020-01-01,-491
AK,2020-02-01,-380
AK,2020-03-01,-34
AK,2020-04-01,-41
AK,2020-05-01,6
AK,2020-06-01,-175
AK,2020-07-01,-594
AK,2020-08-01,-602
AK,2020-09-01,-626
AK,2020-10-01,-518
AK,2020-11-01,-368
AK,2020-12-01,-384
AK,2021-01-01,-297
AK,2021-02-01,-345
AK,2021-03-01,-204
AK,2021-04-01,-99
AK,2021-05-01,-420
AK,2021-06-01,-791
AK,2021-07-01,-612
AK,2021-08-01,-984
AK,2021-09-01,-869
AK,2021-10-01,-736
AK,2021-11-01,-508
AK,2021-12-01,-450
AK,2022-01-01,-518
AK,2022-02-01,-528
AK,2022-03-01,-460
AK,2022-04-01,-556
AK,2022-05-01,-518
AK,2022-06-01,-647
AK,2022-07-01,-799
AK,2022-08-01,-955
AK,2022-09-01,-1262
AK,2022-10-01,-1027
AK,2022-11-01,-581
AK,2022-12-01,-533
AK,2023-01-01,-625
AK,2023-02-01,-369
AL,2018-12-01,-1099
AL,2019-03-01,-3183
AL,2019-04-01,-2147
AL,2019-05-01,-1743
AL,2019-06-01,-1602
AL,2019-07-01,-1165
AL,2019-08-01,-2133
AL,2019-09-01,-2001
AL,2019-10-01,-2179
AL,2019-11-01,-1044
AL,2019-12-01,-834
AL,2020-01-01,-1044
AL,2020-02-01,-1723
AL,2020-03-01,-1692
AL,2020-04-01,-651
AL,2020-05-01,-537
AL,2020-06-01,4
AL,2020-07-01,-53
AL,2020-08-01,-20
AL,2020-09-01,-373
AL,2020-10-01,-618
AL,2020-11-01,-315
AL,2020-12-01,215
AL,2021-01-01,-73
AL,2021-02-01,-992
AL,2021-03-01,-1489
AL,2021-04-01,-445
AL,2021-05-01,-1323
AL,2021-06-01,-1217
AL,2021-07-01,-403
AL,2021-08-01,-818
AL,2021-09-01,-939
AL,2021-10-01,-860
AL,2021-11-01,-1034
AL,2021-12-01,-685
AL,2022-01-01,-1008
AL,2022-02-01,-1783
AL,2022-03-01,-2743
AL,2022-04-01,-1406
AL,2022-05-01,-1438
AL,2022-06-01,-447
AL,2022-07-01,-541
AL,2022-08-01,-1263
AL,2022-09-01,-1577
AL,2022-10-01,-1518
AL,2022-11-01,-867
AL,2022-12-01,-1247
AL,2023-01-01,-1616
AL,2023-02-01,-3088
AP,2018-12-01,35
AP,2019-03-01,318
AP,2019-04-01,312
AP,2019-05-01,-953
AP,2019-06-01,-767
AP,2019-07-01,-501
AP,2019-08-01,-479
AP,2019-09-01,-449
AP,2019-10-01,-382
AP,2019-11-01,-461
AP,2019-12-01,-687
AP,2020-01-01,-385
AP,2020-02-01,-594
AP,2020-03-01,-425
AP,2020-04-01,-126
AP,2020-05-01,-308
AP,2020-06-01,-1078
AP,2020-07-01,-2055
AP,2020-08-01,-1251
AP,2020-09-01,-1064
AP,2020-10-01,-1082
AP,2020-11-01,-942
AP,2020-12-01,-1111
AP,2021-01-01,-887
AP,2021-02-01,-799
AP,2021-03-01,-622
AP,2021-04-01,-672
AP,2021-05-01,-1001
AP,2021-06-01,-1769
AP,2021-07-01,-1636
AP,2021-08-01,-1378
AP,2021-09-01,-1093
AP,2021-10-01,-925
AP,2021-11-01,-1025
AP,2021-12-01,-971
AP,2022-01-01,-709
AP,2022-02-01,-919
AP,2022-03-01,-1105
AP,2022-04-01,-952
AP,2022-05-01,-1234
AP,2022-06-01,-1740
AP,2022-07-01,-1547
AP,2022-08-01,-451
AP,2022-09-01,395
AP,2022-10-01,369
AP,2022-11-01,265
AP,2022-12-01,193
AP,2023-01-01,-1069
AP,2023-02-01,-904
AR,2018-12-01,-2386
AR,2019-03-01,-2617
AR,2019-04-01,-2208
AR,2019-05-01,-2260
AR,2019-06-01,-2365
AR,2019-07-01,-2673
AR,2019-08-01,-2504
AR,2019-09-01,-2197
AR,2019-10-01,-2296
AR,2019-11-01,-1971
AR,2019-12-01,-1961
AR,2020-01-01,-2372
AR,2020-02-01,-2299
AR,2020-03-01,-1511
AR,2020-04-01,-883
AR,2020-05-01,-845
AR,2020-06-01,-707
AR,2020-07-01,-1094
AR,2020-08-01,-690
AR,2020-09-01,-939
AR,2020-10-01,-1205
AR,2020-11-01,-984
AR,2020-12-01,-666
AR,2021-01-01,-800
AR,2021-02-01,-663
AR,2021-03-01,-1021
AR,2021-04-01,-1565
AR,2021-05-01,-1506
AR,2021-06-01,-1824
AR,2021-07-01,-1973
AR,2021-08-01,-1508
AR,2021-09-01,-1445
AR,2021-10-01,-1799
AR,2021-11-01,-1908
AR,2021-12-01,-1498
AR,2022-01-01,-1471
AR,2022-02-01,-1542
AR,2022-03-01,-2832
AR,2022-04-01,-2161
AR,2022-05-01,-1290
AR,2022-06-01,-1626
AR,2022-07-01,-1687
AR,2022-08-01,-1721
AR,2022-09-01,-2108
AR,2022-10-01,-2166
AR,2022-11-01,-2107
AR,2022-12-01,-1873
AR,2023-01-01,-2643
AR,2023-02-01,-2467
AS,2019-05-01,-11
AS,2019-06-01,-13
AS,2019-07-01,3
AS,2019-08-01,0
AS,2019-09-01,11
